date,season,team1,team2,elo1,elo2,elo_prob1,score1,score2
1990-10-14,1990,was,nyg,1589.861,1623.635,0.5448172189064486,20,24
1990-10-14,1990,den,pit,1547.905,1495.128,0.6632874621606701,17,34
1990-10-14,1990,crd,dal,1377.165,1357.233,0.6198491260695324,20,3
1990-10-14,1990,atl,sfo,1403.181,1726.547,0.1843312000491676,35,45
1990-10-14,1990,tam,gnb,1437.66,1450.629,0.5743238310538308,26,14
1990-10-14,1990,rai,sea,1555.567,1492.546,0.6763281329544971,24,17
1990-10-14,1990,nyj,sdg,1431.432,1428.263,0.5968632782113229,3,39
1990-10-15,1990,phi,min,1529.442,1503.373,0.6281375876692438,32,24
1990-10-18,1990,mia,nwe,1555.753,1370.075,0.8089216583163067,17,10
1990-10-21,1990,tam,dal,1458.992,1336.075,0.7468225928944234,13,17
1990-10-21,1990,sfo,pit,1734.458,1535.64,0.8203408507615082,27,7
1990-10-21,1990,sea,kan,1479.825,1569.742,0.4642029053711207,19,7
1990-10-21,1990,was,phi,1572.072,1545.134,0.6293052932172855,13,7
1990-10-21,1990,sdg,rai,1472.746,1568.288,0.4561593986608159,9,24
1990-10-21,1990,oti,nor,1528.279,1555.55,0.5540839693889694,23,10
1990-10-21,1990,ram,atl,1520.225,1395.27,0.7490343710374957,44,24
1990-10-21,1990,nyg,crd,1641.425,1398.324,0.8549013125504197,20,19
1990-10-21,1990,clt,den,1491.205,1507.393,0.5697875606110723,17,27
1990-10-21,1990,buf,nyj,1587.595,1386.949,0.8218864969119656,30,27
1990-10-22,1990,cle,cin,1479.546,1527.307,0.5247885760270726,13,34
1990-10-28,1990,dal,phi,1362.359,1531.286,0.3547437327127167,20,21
1990-10-28,1990,sdg,tam,1447.797,1432.708,0.6132583366711966,41,10
1990-10-28,1990,sfo,cle,1744.226,1446.847,0.8895370716468196,20,17
1990-10-28,1990,oti,nyj,1551.418,1382.543,0.7935228726207179,12,17
1990-10-28,1990,nyg,was,1643.189,1585.92,0.6690379219004554,21,10
1990-10-28,1990,nwe,buf,1362.941,1592.001,0.2800113568633331,10,27
1990-10-28,1990,nor,det,1532.411,1439.531,0.7127607537425662,10,27
1990-10-28,1990,gnb,min,1429.297,1487.681,0.5095200386933286,24,10
1990-10-28,1990,crd,chi,1396.56,1564.139,0.3565219308894143,21,31
1990-10-28,1990,clt,mia,1463.259,1562.887,0.4503306582677191,7,27
1990-10-28,1990,atl,cin,1381.203,1560.006,0.3418405721786141,38,17
1990-10-29,1990,pit,ram,1525.871,1534.292,0.5807115136866372,41,10
